clave_municipio,entidad,mpio,gdp_tourism,gdp_toursim_ss,numero_hospitales,poblacion_2022,popnoafmed2015,gini2015,popden2020,crimen_2018,crimen_2019,inclusion_fin_2019,porcentaje_pob_pobreza,porcentaje_pob_servicios_salud,pob_6-14_no_edu,rezago_social,grado_rs
16013,Michoacán de Ocampo,Caracuaro,509731457.3,0.008470102,8,9652,10.037,0.426,21.765,10.98,10.95,0,62.58,13.9,9.59,0.07,Bajo
16014,Michoacán de Ocampo,Coahuayana,507407391.5,0.008431484,19,15155,12.389,0.386,33.662,44.19,31.37,0,47.45,26.01,14.17,-0.35,Bajo
16015,Michoacán de Ocampo,Coalcoman de Vazquez Pallares,436935413,0.007260466,20,18450,14.926,0.415,5.447,39.79,101.9,1.56,50.43,27.77,8.35,-0.27,Bajo
16016,Michoacán de Ocampo,Coeneo,413155733.3,0.006865323,17,21736,38.508,0.408,52.294,4.71,56.42,0.63,49.06,52.66,6.12,-0.37,Bajo
16017,Michoacán de Ocampo,Contepec,402399713.8,0.006686593,16,35877,20.879,0.379,107.745,2.87,14.24,0.4,58.53,44.5,6.42,-0.29,Bajo
16018,Michoacán de Ocampo,Copandaro,389539888.2,0.006472904,10,9487,17.889,0.361,72.602,10.39,10.33,0,66.06,32.7,5.54,-0.58,Bajo
16019,Michoacán de Ocampo,Cotija,385115510.4,0.006399385,18,19674,28.946,0.386,37.185,19.23,110.03,1.98,46.62,33.82,10.38,-0.55,Bajo
16020,Michoacán de Ocampo,Cuitzeo,379500929.7,0.006306089,42,31334,22.715,0.384,121.083,6.69,53.3,0,65.28,46.52,7.11,-0.49,Bajo
16021,Michoacán de Ocampo,Charapan,317489873.1,0.005275664,8,13006,25.038,0.386,132.501,0,37.2,0,81.44,24.21,8.87,1.06,Alto
16022,Michoacán de Ocampo,Charo,304146057.3,0.005053932,9,23273,23.669,0.361,143.983,21.51,17.13,0,44.4,45.96,5.24,-0.65,Bajo
16023,Michoacán de Ocampo,Chavinda,273678904,0.004547666,14,10785,30.367,0.359,71.281,49.16,49.08,1.32,53.34,54.29,9.91,-0.57,Bajo
